Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??,??,??,??,??,??
Start Date,2020/4/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/4/1, $76.54 ,2020/4/1, $246.15 ,2020/4/1, $60.23 
End Date,2025/4/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/4/2, $78.33 ,2020/4/2, $251.83 ,2020/4/2, $61.23 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/4/3, $77.12 ,2020/4/3, $248.19 ,2020/4/3, $60.35 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/4/6, $83.70 ,2020/4/6, $264.86 ,2020/4/6, $65.62 
Date,AAPL,SPY,XLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/4/7, $82.95 ,2020/4/7, $265.13 ,2020/4/7, $64.86 
2020/4/2, $61.23 , $251.83 , $78.33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/4/8, $85.18 ,2020/4/8, $274.03 ,2020/4/8, $66.52 
2020/4/3, $60.35 , $248.19 , $77.12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/4/9, $85.20 ,2020/4/9, $278.20 ,2020/4/9, $67.00 
2020/4/6, $65.62 , $264.86 , $83.70 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/4/13, $85.39 ,2020/4/13, $275.66 ,2020/4/13, $68.31 
2020/4/7, $64.86 , $265.13 , $82.95 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/4/14, $88.97 ,2020/4/14, $283.79 ,2020/4/14, $71.76 
2020/4/8, $66.52 , $274.03 , $85.18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/4/15, $87.03 ,2020/4/15, $277.76 ,2020/4/15, $71.11 
2020/4/9, $67.00 , $278.20 , $85.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/4/16, $88.09 ,2020/4/16, $279.10 ,2020/4/16, $71.67 
2020/4/13, $68.31 , $275.66 , $85.39 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/4/17, $89.26 ,2020/4/17, $286.64 ,2020/4/17, $70.70 
2020/4/14, $71.76 , $283.79 , $88.97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/4/20, $87.83 ,2020/4/20, $281.59 ,2020/4/20, $69.23 
2020/4/15, $71.11 , $277.76 , $87.03 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/4/21, $84.15 ,2020/4/21, $273.04 ,2020/4/21, $67.09 
2020/4/16, $71.67 , $279.10 , $88.09 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/4/22, $87.39 ,2020/4/22, $279.10 ,2020/4/22, $69.03 
2020/4/17, $70.70 , $286.64 , $89.26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/4/23, $86.79 ,2020/4/23, $279.08 ,2020/4/23, $68.76 
2020/4/20, $69.23 , $281.59 , $87.83 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/4/24, $88.63 ,2020/4/24, $282.97 ,2020/4/24, $70.74 
2020/4/21, $67.09 , $273.04 , $84.15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/4/27, $89.39 ,2020/4/27, $287.05 ,2020/4/27, $70.79 
2020/4/22, $69.03 , $279.10 , $87.39 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/4/28, $88.20 ,2020/4/28, $285.73 ,2020/4/28, $69.65 
2020/4/23, $68.76 , $279.08 , $86.79 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/4/29, $91.82 ,2020/4/29, $293.21 ,2020/4/29, $71.93 
2020/4/24, $70.74 , $282.97 , $88.63 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/4/30, $91.41 ,2020/4/30, $290.48 ,2020/4/30, $73.45 
2020/4/27, $70.79 , $287.05 , $89.39 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/1, $88.90 ,2020/5/1, $282.79 ,2020/5/1, $72.27 
2020/4/28, $69.65 , $285.73 , $88.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/4, $90.08 ,2020/5/4, $283.57 ,2020/5/4, $73.29 
2020/4/29, $71.93 , $293.21 , $91.82 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/5, $91.32 ,2020/5/5, $286.19 ,2020/5/5, $74.39 
2020/4/30, $73.45 , $290.48 , $91.41 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/6, $92.03 ,2020/5/6, $284.25 ,2020/5/6, $75.16 
2020/5/1, $72.27 , $282.79 , $88.90 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/7, $93.41 ,2020/5/7, $287.68 ,2020/5/7, $75.94 
